テストID,テスト区分,岩区分,設計掘削断面積,切羽監視責任者の有無,鏡吹付工施工の有無,(ドリルジャンボ)排ガス機械の選択,ドリルジャンボ排ガス1次対策型規格(固定),(大型ブレーカ)排ガス機械の選択,(ホイールローダ)排ガス機械の選択,ロックボルトの計上区分,鋼製支保有無,ダンプトラックによるずり運搬の計上区分,集塵機の計上区分,期待:S11(トンネル世話役(切羽監視責任者)),期待:S1(トンネル世話役),期待:S2(トンネル特殊工),期待:S3(トンネル作業員),期待:S4(ドリルジャンボ運転),期待:S5(大型ブレーカ運転),期待:S6(ホイールローダ運転),期待:S7(コンクリート吹付機運転),期待:S8(吹付プラント設備運転),期待:S12(諸雑費(鏡吹付施工労務費)),期待:S9(諸雑費(その他機械)),期待:S13(諸雑費(鏡吹付施工機械費)),期待:S10(諸雑費(その他材料)),期待:S14(諸雑費(鏡吹付材料費)),選択肢の適切さ確認,規格名計上
TC-112,新規歩掛,DⅡ,断面積35m2,無,無,排ガス未対策型(旧),-,排ガス対策型(第1次基準値),排ガス対策型(第1次基準値),計上しない,あり,計上しない,計上しない,,○,○,○,○,○,○,○,○,○,○,○,○,,"岩区分(全選択肢網羅)
・「DⅡ」と表示されているが、外部設計と正しいか
設計掘削断面積(全選択肢網羅)
・「断面積35m2」と表示されているが、外部設計と正しいか
切羽監視責任者の有無(全選択肢網羅)
・「無」と表示されているが、外部設計と正しいか
鏡吹付工施工の有無(全選択肢網羅)
・「無」と表示されているが、外部設計と正しいか
(ドリルジャンボ)排ガス機械の選択(全選択肢網羅)
・「排ガス未対策型(旧)」と表示されているが、外部設計と正しいか
(大型ブレーカ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
(ホイールローダ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
ロックボルトの計上区分(全選択肢網羅)
・「計上しない」と表示されているが、外部設計と正しいか
鋼製支保有無(全選択肢網羅)
・「あり」と表示されているが、外部設計と正しいか
ダンプトラックによるずり運搬の計上区分(全選択肢網羅)
・「計上しない」と表示されているが、外部設計と正しいか
集塵機の計上区分(全選択肢網羅)
・「計上しない」と表示されているが、外部設計と正しいか","・岩区分 の規格名計上が意図通りの場所に正しく計上されているか
・設計掘削断面積 の規格名計上が意図通りの場所に正しく計上されているか
・切羽監視責任者の有無 の規格名計上が意図通りの場所に正しく計上されているか
・鏡吹付工施工の有無 の規格名計上が意図通りの場所に正しく計上されているか"
TC-113,新規歩掛,DⅡ,断面積35m2,無,無,排ガス対策型(第1次基準値),2ブーム・ドリフタ150kg級 1バスケット,排ガス対策型(第1次基準値),排ガス対策型(第1次基準値),計上する,なし,計上する,計上する,○,○,○,○,○,○,○,○,○,○,○,○,○,○,"岩区分(全選択肢網羅)
・「DⅡ」と表示されているが、外部設計と正しいか
設計掘削断面積(全選択肢網羅)
・「断面積35m2」と表示されているが、外部設計と正しいか
切羽監視責任者の有無(全選択肢網羅)
・「無」と表示されているが、外部設計と正しいか
鏡吹付工施工の有無(全選択肢網羅)
・「無」と表示されているが、外部設計と正しいか
(ドリルジャンボ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
(大型ブレーカ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
(ホイールローダ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
ロックボルトの計上区分(全選択肢網羅)
・「計上する」と表示されているが、外部設計と正しいか
鋼製支保有無(全選択肢網羅)
・「なし」と表示されているが、外部設計と正しいか
ダンプトラックによるずり運搬の計上区分(全選択肢網羅)
・「計上する」と表示されているが、外部設計と正しいか
集塵機の計上区分(全選択肢網羅)
・「計上する」と表示されているが、外部設計と正しいか","・岩区分 の規格名計上が意図通りの場所に正しく計上されているか
・設計掘削断面積 の規格名計上が意図通りの場所に正しく計上されているか
・切羽監視責任者の有無 の規格名計上が意図通りの場所に正しく計上されているか
・鏡吹付工施工の有無 の規格名計上が意図通りの場所に正しく計上されているか"
TC-114,新規歩掛,DⅡ,断面積35m2,無,無,排ガス対策型(第1次基準値),2ブーム・ドリフタ150kg級 1バスケット,排ガス対策型(第1次基準値),排ガス対策型(第1次基準値),計上する,なし,計上する,計上しない,○,○,○,○,○,○,○,○,○,○,○,○,○,○,"岩区分(全選択肢網羅)
・「DⅡ」と表示されているが、外部設計と正しいか
設計掘削断面積(全選択肢網羅)
・「断面積35m2」と表示されているが、外部設計と正しいか
切羽監視責任者の有無(全選択肢網羅)
・「無」と表示されているが、外部設計と正しいか
鏡吹付工施工の有無(全選択肢網羅)
・「無」と表示されているが、外部設計と正しいか
(ドリルジャンボ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
(大型ブレーカ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
(ホイールローダ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
ロックボルトの計上区分(全選択肢網羅)
・「計上する」と表示されているが、外部設計と正しいか
鋼製支保有無(全選択肢網羅)
・「なし」と表示されているが、外部設計と正しいか
ダンプトラックによるずり運搬の計上区分(全選択肢網羅)
・「計上する」と表示されているが、外部設計と正しいか
集塵機の計上区分(全選択肢網羅)
・「計上しない」と表示されているが、外部設計と正しいか","・岩区分 の規格名計上が意図通りの場所に正しく計上されているか
・設計掘削断面積 の規格名計上が意図通りの場所に正しく計上されているか
・切羽監視責任者の有無 の規格名計上が意図通りの場所に正しく計上されているか
・鏡吹付工施工の有無 の規格名計上が意図通りの場所に正しく計上されているか"
TC-115,新規歩掛,DⅡ,断面積35m2,無,無,排ガス対策型(第1次基準値),2ブーム・ドリフタ150kg級 1バスケット,排ガス対策型(第1次基準値),排ガス対策型(第1次基準値),計上する,なし,計上しない,計上する,○,○,○,○,○,○,○,○,○,○,○,○,○,,"岩区分(全選択肢網羅)
・「DⅡ」と表示されているが、外部設計と正しいか
設計掘削断面積(全選択肢網羅)
・「断面積35m2」と表示されているが、外部設計と正しいか
切羽監視責任者の有無(全選択肢網羅)
・「無」と表示されているが、外部設計と正しいか
鏡吹付工施工の有無(全選択肢網羅)
・「無」と表示されているが、外部設計と正しいか
(ドリルジャンボ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
(大型ブレーカ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
(ホイールローダ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
ロックボルトの計上区分(全選択肢網羅)
・「計上する」と表示されているが、外部設計と正しいか
鋼製支保有無(全選択肢網羅)
・「なし」と表示されているが、外部設計と正しいか
ダンプトラックによるずり運搬の計上区分(全選択肢網羅)
・「計上しない」と表示されているが、外部設計と正しいか
集塵機の計上区分(全選択肢網羅)
・「計上する」と表示されているが、外部設計と正しいか","・岩区分 の規格名計上が意図通りの場所に正しく計上されているか
・設計掘削断面積 の規格名計上が意図通りの場所に正しく計上されているか
・切羽監視責任者の有無 の規格名計上が意図通りの場所に正しく計上されているか
・鏡吹付工施工の有無 の規格名計上が意図通りの場所に正しく計上されているか"
TC-116,新規歩掛,DⅡ,断面積35m2,無,無,排ガス対策型(第1次基準値),2ブーム・ドリフタ150kg級 1バスケット,排ガス対策型(第1次基準値),排ガス対策型(第1次基準値),計上する,なし,計上しない,計上しない,○,○,○,○,○,○,○,○,○,○,○,○,○,,"岩区分(全選択肢網羅)
・「DⅡ」と表示されているが、外部設計と正しいか
設計掘削断面積(全選択肢網羅)
・「断面積35m2」と表示されているが、外部設計と正しいか
切羽監視責任者の有無(全選択肢網羅)
・「無」と表示されているが、外部設計と正しいか
鏡吹付工施工の有無(全選択肢網羅)
・「無」と表示されているが、外部設計と正しいか
(ドリルジャンボ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
(大型ブレーカ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
(ホイールローダ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
ロックボルトの計上区分(全選択肢網羅)
・「計上する」と表示されているが、外部設計と正しいか
鋼製支保有無(全選択肢網羅)
・「なし」と表示されているが、外部設計と正しいか
ダンプトラックによるずり運搬の計上区分(全選択肢網羅)
・「計上しない」と表示されているが、外部設計と正しいか
集塵機の計上区分(全選択肢網羅)
・「計上しない」と表示されているが、外部設計と正しいか","・岩区分 の規格名計上が意図通りの場所に正しく計上されているか
・設計掘削断面積 の規格名計上が意図通りの場所に正しく計上されているか
・切羽監視責任者の有無 の規格名計上が意図通りの場所に正しく計上されているか
・鏡吹付工施工の有無 の規格名計上が意図通りの場所に正しく計上されているか"
TC-117,新規歩掛,DⅡ,断面積35m2,無,無,排ガス対策型(第1次基準値),2ブーム・ドリフタ150kg級 1バスケット,排ガス対策型(第1次基準値),排ガス対策型(第1次基準値),計上する,あり,計上する,計上する,○,○,○,○,○,○,○,○,○,○,○,○,○,○,"岩区分(全選択肢網羅)
・「DⅡ」と表示されているが、外部設計と正しいか
設計掘削断面積(全選択肢網羅)
・「断面積35m2」と表示されているが、外部設計と正しいか
切羽監視責任者の有無(全選択肢網羅)
・「無」と表示されているが、外部設計と正しいか
鏡吹付工施工の有無(全選択肢網羅)
・「無」と表示されているが、外部設計と正しいか
(ドリルジャンボ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
(大型ブレーカ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
(ホイールローダ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
ロックボルトの計上区分(全選択肢網羅)
・「計上する」と表示されているが、外部設計と正しいか
鋼製支保有無(全選択肢網羅)
・「あり」と表示されているが、外部設計と正しいか
ダンプトラックによるずり運搬の計上区分(全選択肢網羅)
・「計上する」と表示されているが、外部設計と正しいか
集塵機の計上区分(全選択肢網羅)
・「計上する」と表示されているが、外部設計と正しいか","・岩区分 の規格名計上が意図通りの場所に正しく計上されているか
・設計掘削断面積 の規格名計上が意図通りの場所に正しく計上されているか
・切羽監視責任者の有無 の規格名計上が意図通りの場所に正しく計上されているか
・鏡吹付工施工の有無 の規格名計上が意図通りの場所に正しく計上されているか"
TC-118,新規歩掛,DⅡ,断面積35m2,無,無,排ガス対策型(第1次基準値),2ブーム・ドリフタ150kg級 1バスケット,排ガス対策型(第1次基準値),排ガス対策型(第1次基準値),計上する,あり,計上する,計上しない,○,○,○,○,○,○,○,○,○,○,○,○,○,○,"岩区分(全選択肢網羅)
・「DⅡ」と表示されているが、外部設計と正しいか
設計掘削断面積(全選択肢網羅)
・「断面積35m2」と表示されているが、外部設計と正しいか
切羽監視責任者の有無(全選択肢網羅)
・「無」と表示されているが、外部設計と正しいか
鏡吹付工施工の有無(全選択肢網羅)
・「無」と表示されているが、外部設計と正しいか
(ドリルジャンボ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
(大型ブレーカ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
(ホイールローダ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
ロックボルトの計上区分(全選択肢網羅)
・「計上する」と表示されているが、外部設計と正しいか
鋼製支保有無(全選択肢網羅)
・「あり」と表示されているが、外部設計と正しいか
ダンプトラックによるずり運搬の計上区分(全選択肢網羅)
・「計上する」と表示されているが、外部設計と正しいか
集塵機の計上区分(全選択肢網羅)
・「計上しない」と表示されているが、外部設計と正しいか","・岩区分 の規格名計上が意図通りの場所に正しく計上されているか
・設計掘削断面積 の規格名計上が意図通りの場所に正しく計上されているか
・切羽監視責任者の有無 の規格名計上が意図通りの場所に正しく計上されているか
・鏡吹付工施工の有無 の規格名計上が意図通りの場所に正しく計上されているか"
TC-119,新規歩掛,DⅡ,断面積35m2,無,無,排ガス対策型(第1次基準値),2ブーム・ドリフタ150kg級 1バスケット,排ガス対策型(第1次基準値),排ガス対策型(第1次基準値),計上する,あり,計上しない,計上する,○,○,○,○,○,○,○,○,○,○,○,○,○,,"岩区分(全選択肢網羅)
・「DⅡ」と表示されているが、外部設計と正しいか
設計掘削断面積(全選択肢網羅)
・「断面積35m2」と表示されているが、外部設計と正しいか
切羽監視責任者の有無(全選択肢網羅)
・「無」と表示されているが、外部設計と正しいか
鏡吹付工施工の有無(全選択肢網羅)
・「無」と表示されているが、外部設計と正しいか
(ドリルジャンボ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
(大型ブレーカ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
(ホイールローダ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
ロックボルトの計上区分(全選択肢網羅)
・「計上する」と表示されているが、外部設計と正しいか
鋼製支保有無(全選択肢網羅)
・「あり」と表示されているが、外部設計と正しいか
ダンプトラックによるずり運搬の計上区分(全選択肢網羅)
・「計上しない」と表示されているが、外部設計と正しいか
集塵機の計上区分(全選択肢網羅)
・「計上する」と表示されているが、外部設計と正しいか","・岩区分 の規格名計上が意図通りの場所に正しく計上されているか
・設計掘削断面積 の規格名計上が意図通りの場所に正しく計上されているか
・切羽監視責任者の有無 の規格名計上が意図通りの場所に正しく計上されているか
・鏡吹付工施工の有無 の規格名計上が意図通りの場所に正しく計上されているか"
TC-120,新規歩掛,DⅡ,断面積35m2,無,無,排ガス対策型(第1次基準値),2ブーム・ドリフタ150kg級 1バスケット,排ガス対策型(第1次基準値),排ガス対策型(第1次基準値),計上する,あり,計上しない,計上しない,○,○,○,○,○,○,○,○,○,○,○,○,○,,"岩区分(全選択肢網羅)
・「DⅡ」と表示されているが、外部設計と正しいか
設計掘削断面積(全選択肢網羅)
・「断面積35m2」と表示されているが、外部設計と正しいか
切羽監視責任者の有無(全選択肢網羅)
・「無」と表示されているが、外部設計と正しいか
鏡吹付工施工の有無(全選択肢網羅)
・「無」と表示されているが、外部設計と正しいか
(ドリルジャンボ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
(大型ブレーカ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
(ホイールローダ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
ロックボルトの計上区分(全選択肢網羅)
・「計上する」と表示されているが、外部設計と正しいか
鋼製支保有無(全選択肢網羅)
・「あり」と表示されているが、外部設計と正しいか
ダンプトラックによるずり運搬の計上区分(全選択肢網羅)
・「計上しない」と表示されているが、外部設計と正しいか
集塵機の計上区分(全選択肢網羅)
・「計上しない」と表示されているが、外部設計と正しいか","・岩区分 の規格名計上が意図通りの場所に正しく計上されているか
・設計掘削断面積 の規格名計上が意図通りの場所に正しく計上されているか
・切羽監視責任者の有無 の規格名計上が意図通りの場所に正しく計上されているか
・鏡吹付工施工の有無 の規格名計上が意図通りの場所に正しく計上されているか"
TC-121,新規歩掛,DⅡ,断面積35m2,無,無,排ガス対策型(第1次基準値),2ブーム・ドリフタ150kg級 1バスケット,排ガス対策型(第1次基準値),排ガス対策型(第1次基準値),計上しない,なし,計上する,計上する,,○,○,○,○,○,○,○,○,○,○,○,○,○,"岩区分(全選択肢網羅)
・「DⅡ」と表示されているが、外部設計と正しいか
設計掘削断面積(全選択肢網羅)
・「断面積35m2」と表示されているが、外部設計と正しいか
切羽監視責任者の有無(全選択肢網羅)
・「無」と表示されているが、外部設計と正しいか
鏡吹付工施工の有無(全選択肢網羅)
・「無」と表示されているが、外部設計と正しいか
(ドリルジャンボ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
(大型ブレーカ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
(ホイールローダ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
ロックボルトの計上区分(全選択肢網羅)
・「計上しない」と表示されているが、外部設計と正しいか
鋼製支保有無(全選択肢網羅)
・「なし」と表示されているが、外部設計と正しいか
ダンプトラックによるずり運搬の計上区分(全選択肢網羅)
・「計上する」と表示されているが、外部設計と正しいか
集塵機の計上区分(全選択肢網羅)
・「計上する」と表示されているが、外部設計と正しいか","・岩区分 の規格名計上が意図通りの場所に正しく計上されているか
・設計掘削断面積 の規格名計上が意図通りの場所に正しく計上されているか
・切羽監視責任者の有無 の規格名計上が意図通りの場所に正しく計上されているか
・鏡吹付工施工の有無 の規格名計上が意図通りの場所に正しく計上されているか"
TC-122,新規歩掛,DⅡ,断面積35m2,無,無,排ガス対策型(第1次基準値),2ブーム・ドリフタ150kg級 1バスケット,排ガス対策型(第1次基準値),排ガス対策型(第1次基準値),計上しない,なし,計上する,計上しない,,○,○,○,○,○,○,○,○,○,○,○,○,○,"岩区分(全選択肢網羅)
・「DⅡ」と表示されているが、外部設計と正しいか
設計掘削断面積(全選択肢網羅)
・「断面積35m2」と表示されているが、外部設計と正しいか
切羽監視責任者の有無(全選択肢網羅)
・「無」と表示されているが、外部設計と正しいか
鏡吹付工施工の有無(全選択肢網羅)
・「無」と表示されているが、外部設計と正しいか
(ドリルジャンボ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
(大型ブレーカ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
(ホイールローダ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
ロックボルトの計上区分(全選択肢網羅)
・「計上しない」と表示されているが、外部設計と正しいか
鋼製支保有無(全選択肢網羅)
・「なし」と表示されているが、外部設計と正しいか
ダンプトラックによるずり運搬の計上区分(全選択肢網羅)
・「計上する」と表示されているが、外部設計と正しいか
集塵機の計上区分(全選択肢網羅)
・「計上しない」と表示されているが、外部設計と正しいか","・岩区分 の規格名計上が意図通りの場所に正しく計上されているか
・設計掘削断面積 の規格名計上が意図通りの場所に正しく計上されているか
・切羽監視責任者の有無 の規格名計上が意図通りの場所に正しく計上されているか
・鏡吹付工施工の有無 の規格名計上が意図通りの場所に正しく計上されているか"
TC-123,新規歩掛,DⅡ,断面積35m2,無,無,排ガス対策型(第1次基準値),2ブーム・ドリフタ150kg級 1バスケット,排ガス対策型(第1次基準値),排ガス対策型(第1次基準値),計上しない,なし,計上しない,計上する,,○,○,○,○,○,○,○,○,○,○,○,○,,"岩区分(全選択肢網羅)
・「DⅡ」と表示されているが、外部設計と正しいか
設計掘削断面積(全選択肢網羅)
・「断面積35m2」と表示されているが、外部設計と正しいか
切羽監視責任者の有無(全選択肢網羅)
・「無」と表示されているが、外部設計と正しいか
鏡吹付工施工の有無(全選択肢網羅)
・「無」と表示されているが、外部設計と正しいか
(ドリルジャンボ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
(大型ブレーカ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
(ホイールローダ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
ロックボルトの計上区分(全選択肢網羅)
・「計上しない」と表示されているが、外部設計と正しいか
鋼製支保有無(全選択肢網羅)
・「なし」と表示されているが、外部設計と正しいか
ダンプトラックによるずり運搬の計上区分(全選択肢網羅)
・「計上しない」と表示されているが、外部設計と正しいか
集塵機の計上区分(全選択肢網羅)
・「計上する」と表示されているが、外部設計と正しいか","・岩区分 の規格名計上が意図通りの場所に正しく計上されているか
・設計掘削断面積 の規格名計上が意図通りの場所に正しく計上されているか
・切羽監視責任者の有無 の規格名計上が意図通りの場所に正しく計上されているか
・鏡吹付工施工の有無 の規格名計上が意図通りの場所に正しく計上されているか"
TC-124,新規歩掛,DⅡ,断面積35m2,無,無,排ガス対策型(第1次基準値),2ブーム・ドリフタ150kg級 1バスケット,排ガス対策型(第1次基準値),排ガス対策型(第1次基準値),計上しない,なし,計上しない,計上しない,,○,○,○,○,○,○,○,○,○,○,○,○,,"岩区分(全選択肢網羅)
・「DⅡ」と表示されているが、外部設計と正しいか
設計掘削断面積(全選択肢網羅)
・「断面積35m2」と表示されているが、外部設計と正しいか
切羽監視責任者の有無(全選択肢網羅)
・「無」と表示されているが、外部設計と正しいか
鏡吹付工施工の有無(全選択肢網羅)
・「無」と表示されているが、外部設計と正しいか
(ドリルジャンボ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
(大型ブレーカ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
(ホイールローダ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
ロックボルトの計上区分(全選択肢網羅)
・「計上しない」と表示されているが、外部設計と正しいか
鋼製支保有無(全選択肢網羅)
・「なし」と表示されているが、外部設計と正しいか
ダンプトラックによるずり運搬の計上区分(全選択肢網羅)
・「計上しない」と表示されているが、外部設計と正しいか
集塵機の計上区分(全選択肢網羅)
・「計上しない」と表示されているが、外部設計と正しいか","・岩区分 の規格名計上が意図通りの場所に正しく計上されているか
・設計掘削断面積 の規格名計上が意図通りの場所に正しく計上されているか
・切羽監視責任者の有無 の規格名計上が意図通りの場所に正しく計上されているか
・鏡吹付工施工の有無 の規格名計上が意図通りの場所に正しく計上されているか"
TC-125,新規歩掛,DⅡ,断面積35m2,無,無,排ガス対策型(第1次基準値),2ブーム・ドリフタ150kg級 1バスケット,排ガス対策型(第1次基準値),排ガス対策型(第1次基準値),計上しない,あり,計上する,計上する,,○,○,○,○,○,○,○,○,○,○,○,○,○,"岩区分(全選択肢網羅)
・「DⅡ」と表示されているが、外部設計と正しいか
設計掘削断面積(全選択肢網羅)
・「断面積35m2」と表示されているが、外部設計と正しいか
切羽監視責任者の有無(全選択肢網羅)
・「無」と表示されているが、外部設計と正しいか
鏡吹付工施工の有無(全選択肢網羅)
・「無」と表示されているが、外部設計と正しいか
(ドリルジャンボ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
(大型ブレーカ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
(ホイールローダ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
ロックボルトの計上区分(全選択肢網羅)
・「計上しない」と表示されているが、外部設計と正しいか
鋼製支保有無(全選択肢網羅)
・「あり」と表示されているが、外部設計と正しいか
ダンプトラックによるずり運搬の計上区分(全選択肢網羅)
・「計上する」と表示されているが、外部設計と正しいか
集塵機の計上区分(全選択肢網羅)
・「計上する」と表示されているが、外部設計と正しいか","・岩区分 の規格名計上が意図通りの場所に正しく計上されているか
・設計掘削断面積 の規格名計上が意図通りの場所に正しく計上されているか
・切羽監視責任者の有無 の規格名計上が意図通りの場所に正しく計上されているか
・鏡吹付工施工の有無 の規格名計上が意図通りの場所に正しく計上されているか"
TC-126,新規歩掛,DⅡ,断面積35m2,無,無,排ガス対策型(第1次基準値),2ブーム・ドリフタ150kg級 1バスケット,排ガス対策型(第1次基準値),排ガス対策型(第1次基準値),計上しない,あり,計上する,計上しない,,○,○,○,○,○,○,○,○,○,○,○,○,○,"岩区分(全選択肢網羅)
・「DⅡ」と表示されているが、外部設計と正しいか
設計掘削断面積(全選択肢網羅)
・「断面積35m2」と表示されているが、外部設計と正しいか
切羽監視責任者の有無(全選択肢網羅)
・「無」と表示されているが、外部設計と正しいか
鏡吹付工施工の有無(全選択肢網羅)
・「無」と表示されているが、外部設計と正しいか
(ドリルジャンボ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
(大型ブレーカ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
(ホイールローダ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
ロックボルトの計上区分(全選択肢網羅)
・「計上しない」と表示されているが、外部設計と正しいか
鋼製支保有無(全選択肢網羅)
・「あり」と表示されているが、外部設計と正しいか
ダンプトラックによるずり運搬の計上区分(全選択肢網羅)
・「計上する」と表示されているが、外部設計と正しいか
集塵機の計上区分(全選択肢網羅)
・「計上しない」と表示されているが、外部設計と正しいか","・岩区分 の規格名計上が意図通りの場所に正しく計上されているか
・設計掘削断面積 の規格名計上が意図通りの場所に正しく計上されているか
・切羽監視責任者の有無 の規格名計上が意図通りの場所に正しく計上されているか
・鏡吹付工施工の有無 の規格名計上が意図通りの場所に正しく計上されているか"
TC-127,新規歩掛,DⅡ,断面積35m2,無,無,排ガス対策型(第1次基準値),2ブーム・ドリフタ150kg級 1バスケット,排ガス対策型(第1次基準値),排ガス対策型(第1次基準値),計上しない,あり,計上しない,計上する,,○,○,○,○,○,○,○,○,○,○,○,○,,"岩区分(全選択肢網羅)
・「DⅡ」と表示されているが、外部設計と正しいか
設計掘削断面積(全選択肢網羅)
・「断面積35m2」と表示されているが、外部設計と正しいか
切羽監視責任者の有無(全選択肢網羅)
・「無」と表示されているが、外部設計と正しいか
鏡吹付工施工の有無(全選択肢網羅)
・「無」と表示されているが、外部設計と正しいか
(ドリルジャンボ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
(大型ブレーカ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
(ホイールローダ)排ガス機械の選択(全選択肢網羅)
・「排ガス対策型(第1次基準値)」と表示されているが、外部設計と正しいか
ロックボルトの計上区分(全選択肢網羅)
・「計上しない」と表示されているが、外部設計と正しいか
鋼製支保有無(全選択肢網羅)
・「あり」と表示されているが、外部設計と正しいか
ダンプトラックによるずり運搬の計上区分(全選択肢網羅)
・「計上しない」と表示されているが、外部設計と正しいか
集塵機の計上区分(全選択肢網羅)
・「計上する」と表示されているが、外部設計と正しいか","・岩区分 の規格名計上が意図通りの場所に正しく計上されているか
・設計掘削断面積 の規格名計上が意図通りの場所に正しく計上されているか
・切羽監視責任者の有無 の規格名計上が意図通りの場所に正しく計上されているか
・鏡吹付工施工の有無 の規格名計上が意図通りの場所に正しく計上されているか"
